S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
4,113,0.2258,398.7676,-7483.24,7481.64,0.5032,4728
4,77,0.2258,398.8785,-5767.75,7483.72,0.5004,4728
6,39,0.2257,398.6631,-4732.12,7479.68,0.5047,4728
5,45,0.2257,398.7538,-5184.42,7481.38,0.5038,4728
5,108,0.2256,398.4531,-7908.74,7475.74,0.5023,4728
8,88,0.2253,398.0236,-7711.3,7467.68,0.5008,4728
14,22,0.2252,397.7208,-5200.76,7462.0,0.5032,4728
10,92,0.2252,397.788,-5871.24,7463.26,0.5019,4728
4,105,0.2251,397.5353,-6871.46,7458.52,0.5025,4728
5,44,0.2251,397.5471,-5344.56,7458.74,0.5036,4728
6,88,0.2248,397.0865,-7428.88,7450.1,0.5,4728
4,103,0.2245,396.6442,-7204.68,7441.8,0.5025,4728
18,20,0.2244,396.3041,-4735.0,7435.42,0.503,4728
8,96,0.2243,396.1634,-5819.7,7432.78,0.5019,4728
10,93,0.2241,395.915,-5695.42,7428.12,0.5019,4728
13,32,0.2241,395.8607,-4486.01,7427.1,0.503,4728
4,104,0.2237,395.0985,-6743.68,7412.8,0.5023,4728
4,92,0.2234,394.6763,-7604.6,7404.88,0.5015,4728
13,73,0.2228,393.5187,-5276.68,7383.16,0.5027,4728
15,65,0.2228,393.5411,-5256.76,7383.58,0.5019,4728
12,72,0.2226,393.1328,-5424.54,7375.92,0.5017,4728
16,20,0.2226,393.2788,-4930.1,7378.66,0.5027,4728
7,32,0.2223,392.6531,-5383.0,7366.92,0.5044,4728
3,102,0.2223,392.6467,-7107.78,7366.8,0.503,4728
3,54,0.2222,392.4292,-6158.82,7362.72,0.5042,4728
3,30,0.222,392.1233,-6783.87,7356.98,0.5002,4728
5,92,0.2218,391.8142,-7897.3,7351.18,0.5006,4728
10,73,0.2218,391.8653,-5940.75,7352.14,0.5015,4728
4,23,0.2217,391.5466,-5923.34,7346.16,0.5,4728
7,31,0.2217,391.698,-6073.5,7349.0,0.5038,4728
2,32,0.2216,391.4858,-6249.83,7345.02,0.4994,4728
5,70,0.2216,391.3569,-5424.25,7342.6,0.5008,4728
10,98,0.2215,391.2918,-5733.0,7341.38,0.5023,4728
4,117,0.2214,391.0797,-7653.98,7337.4,0.5038,4728
4,97,0.2213,390.939,-7175.72,7334.76,0.503,4728
